HOLE,SAMPID,FROM,TO,MidEast,MidNorth,MidRL,YEAR,FE,SIO2,AL2O3,MN,P,S,MGO,LOI,ASS_TO,WTTOT,WtDry_g_BEST,WtSplit_g_BEST,SI_STRATIGRAPHY_D,GEOZONE_D,CAO,K2O_pct_BEST,MnO_pct_BEST,TIO2,LOI425,LOI650,LO1000,CL_PPM,NA_PPM
DH1~61W,NK_6501_61W,0,1.5,542555.1,7436840.8,504.9,1968,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,JOF,265,-99,-99,-99,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6502_61W,1.5,3,542555.1,7436840.8,503.4,1968,57.5,7,4.5,-0.01,0.24,-99,-99,6.5,100.76,-99,-99,-99,JOF,265,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6503_61W,3,4.6,542555.1,7436840.8,501.85,1968,56,8.2,4.3,-0.01,0.03,-99,-99,7.6,100.23,-99,-99,-99,JOF,265,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6504_61W,4.6,6.1,542555.1,7436840.8,500.3,1968,58.7,7.3,4.2,-0.01,0.05,-99,-99,4.6,100.14,-99,-99,-99,JOF,265,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6505_61W,6.1,7.6,542555.1,7436840.8,498.8,1968,63,5.2,2.1,-0.01,0.05,-99,-99,3,100.49,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6506_61W,7.6,9.1,542555.1,7436840.8,497.3,1968,62,4.8,3.3,-0.01,0.07,-99,-99,3.7,100.6,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6507_61W,9.1,10.7,542555.1,7436840.8,495.75,1968,63.7,3.6,2.4,-0.01,0.04,-99,-99,3.6,100.76,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6508_61W,10.7,12.2,542555.1,7436840.8,494.2,1968,65,2.7,1.1,-0.01,0.03,-99,-99,3.4,100.2,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6509_61W,12.2,13.7,542555.1,7436840.8,492.7,1968,64,4.7,1.6,-0.01,0.03,-99,-99,2.7,100.57,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6510_61W,13.7,15.2,542555.1,7436840.8,491.2,1968,63.1,3.6,2,-0.01,0.02,-99,-99,4.9,100.76,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6511_61W,15.2,16.8,542555.1,7436840.8,489.65,1968,63.9,2.7,2.5,-0.01,0.05,-99,-99,3.3,99.97,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6512_61W,16.8,18.3,542555.1,7436840.8,488.1,1968,62.6,3.3,3.4,-0.01,0.05,-99,-99,3.3,99.62,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
DH1~61W,NK_6513_61W,18.3,19.8,542555.1,7436840.8,486.6,1968,60.2,0.6,4.5,-0.01,0.06,-99,-99,6.2,97.51,-99,-99,-99,JOF,242,-99,-99,-0.01,-99,-99,-99,-99,-99,-99
